Wikipedia 	930: Hucbaldo, monje y ⁇  de la zona de ⁇  (artículo 840).	930: Hucbaldo, monje ha atõi ojapóva Hyãsia pegua (ary reñói 840).
Wikipedia 	1998: Marjory Stoneman Douglas, conservacionista y escritor de la Constitución Nacional (a la ⁇  ⁇ ).	1998: Marjory Stoneman Douglas, conservacionista ha haihára Tetã peteĩ reko Amérikagua pegua (ary reñói 1890).
Wikipedia 	2007: Ricardo Valencia, el alpinista de la zona del euro (alrededor de 1959).	2007: Ricardo Valencia, alpinista Espáña pegua (ary reñói 1959).
Wikipedia 	1946: Booth Tarkington, novelista y su labor como dibujante de la Constitución (artículo 1869).	1946: Booth Tarkington, novelista ha dramaturgo Tetã peteĩ reko Amérikagua pegua (ary reñói 1869).
Wikipedia 	1929: Nelida Roca (70), de la Argentina (la última en morir fue 1999).	1929: Nélida Roca (70), mba'eapohára ha vedette Argentina pegua (ary omano: 1999).
Wikipedia 	En tanto que muchos animales mueren (víveres y vacunas) y no se acercan.	Upéicha heta mymbachu'ĩ omano (víru ha vakitéria) ha noñembohetamo'ãi.
Wikipedia 	El ave de la selva tropical (en español: coruja-migrada), que vive al sur de América, es algo común en Argentina, Islandia y Paraguay.	Suinda ka'aguy (poytugañe'ẽ: coruja-listrada, lasioñe'ẽ: Strix hylophila) guyra, oiko Amérika yvy gotyo, upeicha jajuhu kuaá Argentina, Vrasil ha Paraguáipe avei.
Wikipedia 	Los criaderos y cría de ganado vacuno entregan sus tareas al 55,6% de la población.	Ñemitỹ ha mymba ñemongakuaa ome'ẽ tembiapo 55,6% tapichápe.
Wikipedia 	La construcción de una casa no es algo que les guste a ellos mismos, y por eso cuando va a llover va a llover también.	Óga ñemopu'ã ndaha'éi mba'e ohecharamoitereíva chupekuéra g̃uarã, ha upévare oky jave oikepa ama ha ro'y avei.
Wikipedia 	1817: François Herwegh, abogado y revolucionario de ⁇  (que murió a los 1875).	1817: Georg Herwegh, ñe'ẽpapára ha revolucionario Alemáña pegua (ary omano: 1875).
Wikipedia 	Finalmente, el día 28 de abril del año 1959, le pidieron a ⁇  que le enseñara la obra de San Teresa de Jesús llamada "El Bajo Amano" y, tras escucharla, se sentó en su sofá y dijo "¡Hesu, te queremos!, ¡qué agradable es nuestro encuentro!	Ipahápe, ára 28 jasyrundy ary 1959-pe, ojerurékuri oñemoñe'ẽ hag̃ua chupe Teresa de Jesús Marangatu rembiapokue hérava "Amano namanóigui" ha upéva ohendu rire oguapýsapy'a hupápe ha he'i "¡Hesu, rohayhu!, ¡Iporãitépa ñandejejuhu!
Wikipedia 	1951: A Vasco Uribe, el excelentísimo gobernador de Argentina, que falleció en 2014.	1951: mburuvichavetenaldo Vasco Uribe, ñe'ẽpapára Argentina pegua (ary omano: 2014).
Wikipedia 	1951: Ana María Shua, escritora argentina.	1951: Ana María Shua, escritora argentina.
Wikipedia 	Varias putas de esta clase se dan en tres putas charlatanes cada vez que van juntas.	Puapy Koichagua pu'ae aty ojehu mbohapy pu'ae oñemo-ñe'ẽpehẽvo ohojeýramo oñondive.
Wikipedia 	V&R unipress GmbH; 2011.	V&R unipress GmbH; 2011.
Wikipedia 	1617: David Fabricius, astrónomo romano alemán (artículo 1564).	1617: David Fabricius, astrónomo romano germánico (ary reñói 1564).
Wikipedia 	Tienen electricidad, en un 81,9%.	Ogakuéra oguerekóva electricidad, 81,9%.
Wikipedia 	El curso del río es de unos 11 kilómetros y la zona es de unos 30 y 50 metros.	Ko ysyry ipuku 11 kilómetro rupi ha oĩ tenda ipeha 30 ha 50 metros.
Wikipedia 	El primero (adverbio de tiempo) es 2.4.	Ñe'ẽteja araguáva (adverbio de tiempo) 2.4.
Wikipedia 	El sistema de grafías tradicionales consiste en su capacidad para distinguir entre la verdad y la mentira.	Sistema grafía tradicional", ohesa'ỹijóhape ha'e oikũmbyháicha avañe'ẽ ñe'etekuaa (ñe'ẽpukuaa, ñe'ẽysajakuaa ha ñe'ẽjoajukatu).
Wikipedia 	Especies Silvestres del Paraguay, Guia de Identificación de Especies con Impertancia Económica.	Especies Silvestres del Paraguay, Guia de Identificación de Especies con Importancia Económica.
Wikipedia 	Kalo’i es el que más se preocupa de los tres niños.	Kalo'i ndaje upe iñakãhatãvéva umi mbohapy mitã'i apytégui.
Wikipedia 	Los términos fueron remarcados (palabras multinacionales) y aún no cambiados (palabras invariables).	Ko'ã ñe'ẽ oñemohendajey oñemoambuéva (palabras variables) ha noñemoambuéivape (palabras invariables).
Wikipedia 	Tiene diez años y ya es intérprete de la "Banda Militar de Asunción" y le educó el nombre de "Emil Lakowsky".	Oguerekorõ pa ary ha'e ombopu ypýma "Banda Militar Paraguariguape" ha ohekombo'e chupe upéro mbo'ehára "Emil Lakowsky".
Wikipedia 	1996: Lauren Jaure, de la tribu de Galacia.	1996: Lauren Jauregui, opurahéiva Tetãvore Joapykuéra pegua.
Wikipedia 	1968: Unto Mononen, autor de música finlandesa (y nació en 1930).	1968: Unto Mononen, purahéi haihára finlandés (ary heñói 1930).
Wikipedia 	1977: Richard Kraj ⁇ o, cantante y músico químico.	1977: Richard Krajčo, opurahéiva ha músico checo.
Wikipedia 	 ⁇  no trabaja como lo hace.	Paraguaigua nomba'apói omba'apo haguáicha.
Wikipedia 	Hasta el momento, ellos vivieron su vida como afroamericanos.	Ko'aga meve ha'ekuéra oiko heko'ymáme ha ojeroky meme afroamericanoicha.
Wikipedia 	Hoy es el día 218 del año que debe transcurrir el ultimo.	Amo 218  ára ohasa va'erã opa hag̃ua ary.
Wikipedia 	Luz María Bobadilla es la guitarrista paraguaya de renombre internacional: fue pionera en su calidad de docente y anunció que fue cantada y guiada por el bajo bajo mando del Conservatorio Nacional de Música, quien rige la guitarra del área conservatorio "Agustín Barrios" en el Instituto Municipal de Arte.	Luz María Bobadilla ha'e guitarrista paraguaya ojeguerohorýva internacionalmente: Oipyso hembiapo mbo'ehára ramo ha omoherakuã purahéi ha mbaraka purory, ombo'évo Conservatorio Nacional de Música, oisãmbyhy mbaraka área conservatorio "Agustín Barrios" kóva Instituto Municipal de Arte.
Wikipedia 	José Falcón ha alcanzado los 44°C. En la época de Aurora llegó a los 0°C.	José Falcón-pe hakukue ohupyty 44°C. Araro'ýpe katu oguahẽ 0°C pe.
Wikipedia 	De eso se bendecían todos los monos del bosque.	Upévagui ojeho ka'aguy guasúre ojeheka.
Wikipedia 	En la arquitectura de la ciudad de Tenochtitlán los edificios de la fe son las gigantescas pirámides de las estalonadas, y en el mismo plano plano se colocaron iglesias.	Táva Tenochtitlán arquitectura-pe umi edificios jerovia rehegua; ha'e gigantescas pirámides escalonadas, ha upe ijyvateitépe ojeogapo tupãorã.
Wikipedia 	También hizo el llamado "Historia del Colegio de San José", dos libros incluidos, uno que salió en el año 1997.	Ojapo avei pe hérava "Historia del Colegio de San José", mokõi aranduka guasúpe oikéva, peteĩva osẽ ary 1997 jave.
Wikipedia 	Múnich: Louis Andriessen, periodista de Clima.	1939: Louis Andriessen, purahéi apohára Olánda pegua.
Wikipedia 	1780: José María Arrubla Martínez, político y estadista colombiano.	1780: José María Arrubla Martínez, político y estadista colombiano.
Wikipedia 	Es importante destacar y saber exactamente qué es lo que siente, es decir, la moderna narrativa paraguaya.	Oñemomba'eguasu ha heikuaa hendaitépe umi mba'e oñandúva, omopyenda, moderna narrativa paraguaya.
Wikipedia 	Debieron irse a la escuela, con María Bethânia, para ir a Salvador de Bahía, donde pasó la segunda vuelta.	Ohóvo va'erã mbo'ehaovusúpe, Maria Bethânia ndive, oho Salvador de Bahía-pe, upépe ohasa imitãrusu.
Wikipedia 	Dijo que hoy: 27 de septiembre del año 2012.	Ojehechákuri árape: 27 de septiembre ary 2012.
Wikipedia 	Doce años después de haber sido iluminado, mientras yo estaba sentado a la derecha del trono de la Majestad en el norte del río Mino, en Galisia, a la izquierda de la ciudad que unía a León por el arco iris, y a la derecha de Kaxtila, a la izquierda del país,	Sa ro'y XII pe avei, poytugañe'ẽ ñe'ẽmbo'e pu'aka oñembyeja'o mokõi hendápe jokuairapépe ñaimérõ: ysyrygusu Minho yvate gotyo, Galísia, tetã ojoajúva Leon kasíkere, ha saryty XIII guive, Kastílla akãrojáipe; yvy gotyo , Poytuga, tetã oikóva ha'eñohápe.
Wikipedia 	2002: Fritz Walter, el balde auténtico de 1920.	2002: Fritz Walter, vakapipopo ha'ãhára Alemañagua (ary reñói 1920).
Wikipedia 	En tanto, Chuckie, DJ y los productores de ⁇  están de indulgencia con sus veranos.	1978: Chuckie, DJ ha productor Olánda pegua de ascendencia surinamés.
Wikipedia 	1995: Rodrigo Arenas Betancourt, el ⁇  colombiano (el ⁇  ⁇ ).	1995: Rodrigo Arenas Betancourt, escultor colombiano (ary reñói 1919).
Wikipedia 	El compositor Emigdio Ayala Báez (y la yaguata en Europa escribió en conjunto a sus amigos, como también a la guaraña "Oración a mi amada" con una música en el corazón más popular de Paraguay) y al arpista Albino Quiñónez.	Ohenói compositor Emigdio Ayala Báez (ha upe jeguata europea gotyo ohai oñondive ko'ã irũ, péicha guarania "Oración a mi amada" ombopu, peteĩva purahéi mborayhúpe ipopular-véva Paraguáipe) avei arpista Albino Quiñónez.
Wikipedia 	Ida, Editorial de Ñeeroky Hispana Paraguay SRL 1a.	Ida, Ñe'eroky Editorial Hispana Paraguay SRL 1ª.
Wikipedia 	López.	López.
Wikipedia 	1917: Maurice Duverger, politólogo de la zona del euro (que falleció: 2014).	1917: Maurice Duverger, politólogo Hyãsia pegua (ary omano: 2014).
Wikipedia 	Qué aflicción les espera, hermanos míos! Pues la congregación ya no tiene qué comer, y los que cometen adulterio con ella son los que cometen adulterio.	Hi'arigua, umi ñane retãygua apytépe ndaiporivéima hi'upyrã ha avei oĩ heta mba'asy ojukáva ñane retã ñorairõharakuérape.
Wikipedia 	La Junta Superior Gubernativa gobernará dos años y cuatro meses en el nuevo Estado Paraguayo.	Junta Superior Gubernativa oisãmbyhy mokõi ary ha irundy jasy Estado Paraguayo pyahu.
Wikipedia 	Con este propósito, quiso salir de la ciudad de San Lorenzo.	Upévare oñeha'ã oipe'a táva San Lorenzo-gui.
Wikipedia 	y Bob Saget, que era uno de los doce,	1956: Bob Saget, mba'eapohára Tetã peteĩ reko Amérikagua pegua.
Wikipedia 	Esta enfermedad se apodera de la persona y le da de comer a través de la comida o el agua con las tenias.	Ko mba'asy ojapyhy tapichápe ho'úramo tembi'u térã y oguerekóva tenia rupi'a.
Wikipedia 	Atan cargas pesadas y las ponen sobre la espalda de los demás, pero ellos mismos no están dispuestos a mover ni un dedo para levantarlas.	Sa'i oñemitỹ omymbajukavégui hikuái.
Wikipedia 	Pero la cuarta parte de la BBC vino sólo a través de TDT, vía satélite y cable, y los ingleses no lo reconocieron.	BBC Four: kóva katu osẽ TDT rupi añónte, satélite ha cable rupi ha umi inglés kuérante ikau ohecha.
Wikipedia 	Animación y Producción de Televisión en Antelco, Asunción.	Animación ha Producción de Televisión Antelco, Paraguaýpe.
Wikipedia 	Y el fruto del árbol se siembra en las ramas.	Oga apoha katu oipuru ombojehe´a hag̃ua yvy.
Wikipedia 	Era un vente, y así lo hizo, que saldrá a la calle.	Oïramo veinte, oïhaguéicha osëmbaitéta okápe.
Wikipedia 	Arroyos y Esteros se conocen como la "Qué Mundial del Azúcar Orgánica", en la que se encuentra la mayor parte de la comunidad de caña de azúcar en Paraguay; también de caña y azúcar.	Arroyos y Esteros ojekuaa "Cuna Mundial del Azúcar Orgánica" ramo, ha'e rupi táva hetave takuare'ẽ oñotỹva Paraguáipe; takuare'ẽgui avei ojejapo eíra ha guari.
Wikipedia 	La Secretaria Nacional de Turismo de la Dirección General de Estadísticas, ⁇  y Turismo de las Coordinadas Geográficas e Imágenes Satellitales: Horqueta 1876 - el año Ramón Indalecio Cardozo - 16 mayo...1875-1876-1877...	Secretaria Nacional de Turismo Dirección General de Estadísticas, Encuestas y Censos Coordenadas Geográficas e Imágenes Satelitales: Horqueta 1876 - ary Ramón Indalecio Cardozo - 16 jasypo ...1875-1876-1877...
Wikipedia 	El cuerpo de Coronel lleva hasta aquí hasta Puerto de Asunción a los funcionarios de la Artillería de Marina para habilitar una nueva escuela, como se pidió en el Ministerio de Guerra.	Aty oraháva Coronel retekue og̃uahẽvo Puerto de Asunción-pe Artillería de Marina ombohu'u pateĩ jey mbokavusu, péicha ojerurégui Ministerio de Guerra.
Wikipedia 	Nos encontramos en un cerro muy cercano.	Jajuhu yvyty ijyvatéva.
Wikipedia 	1937: El eunuco Egle Martin, el evangelista, y el argentino.	1937: Egle Martin, mba'eapohára, vedette ha opurahéiva Argentina pegua.
Wikipedia 	En 1956: Joaquín Alonso, que era el tetrarca de ⁇ ,	1956: Joaquín Alonso, vakapipopo ha'ãhára Espáña pegua.
Wikipedia 	1957: Marie Myriam, reina de la congolesa.	1957: Marie Myriam, cantante congolesa.
Wikipedia 	2012: Ethel Rojo, de la zona de ⁇  y vedette de ⁇  (año de 1937).	2012: Ethel Rojo, mba'eapohára ha vedette Arhentína pegua (ary heñói 1937).
Wikipedia 	1963: Helen Sharman, astronauta de la zona de ⁇ .	1963: Helen Sharman, astronauta Vyretáña pegua.
Wikipedia 	2008: Imanol Murúa, la zona de ⁇  de ⁇  (aproximadamente 1935).	2008: Imanol Murúa, jokuaikuaahára Espáña pegua (ary reñói 1935).
Wikipedia 	El vino es la parte más importante del total de la mercadería, la cual es el precio de todos los commodities.	Viru ha'e opa mba'e oñemomba'eguasúva ha ojeipurúva ojehepyme'ẽ hag̃ua, tapichakuéra ha avano'õ omoneígui hepykue.
Wikipedia 	Su padre es ⁇  Boettner, no tiene hermanos.	Itúva héra Alfred Boettner, ndoguerekói joyke'y.
Wikipedia 	Murió en Paraguay el año 12 de enero en ⁇ .	Omano Paraguaype upe 12 jasyasy ary 1909-pe.
Wikipedia 	Desde su niñez sus correligionarios caminan por el monte como si fueran monos, dijo a sus compañeros que están tratando de vivir así.	Imichi guive oñembosarai hapichakuérandi ka'aguýre hu'y ipopekuéra oñani upérupi te'ýicha, he'i iñirũnguérape oikoseha péicha.
Wikipedia 	Artículo 99925-68-04-6 CEO del Paraguay, Primera Edición de 1999, Editorial Hispana Paraguay SRL Secretaria Nacional de Turismo de la Dirección General de Pesca, Estadísticas y Turismo del Correo Nacional Paraguayo Coordenadas Geográficas e Imágenes Satelitales: La Victoria Imágenes Turísticas Guaho (Música: Juncus) y su pareja.	ISBN 99925-68-04-6 Geografía del Paraguay, Primera Edición 1999, Editorial Hispana Paraguay SRL Secretaria Nacional de Turismo Dirección General de Encuestas, Estadísticas y Censos Correo Nacional Paraguayo Coordenadas Geográficas e Imágenes Satelitales: La Victoria Imágenes turísticas Guaho (karaiñe'ẽ: Junco, lasioñe'ẽ: Juncus) ysypo.
Wikipedia 	Nairóvi es el pueblo con más población de cuatro distritos.	Nairóvi ha'e táva orekovéva tapichakuéra ipype irundyha opaite Áfrika-pe.
Wikipedia 	En su juventud se crió en varias ciudades de nuestro país, donde su madre era profesora y profesora en varias escuelas, como Encarnación, Aregua, Alberdi, La Colmena y finalmente Asunción.	Imitã ha imitãrusúpe oikojepékuri heta ñane retã táva rupi, isy ha'égui mbo'ehára ha sãmbyhyhára heta mbo'ehaópe umi táva rupi, umíva apytépe: Encarnación, Aregua, Alberdi, La Colmena ha ipahápe, táva Paraguay.
Wikipedia 	De estos elementos tenemos en Guarani los siguientes: Aramiwi / Kosereva / Arapaho / Kamisa / Kamisa / Vaka / Ovetã / Ñeepupupy reubicados en dos partes: Ñeepuruha: esto se hace cuando se cambia el idioma que ingresa al repertorio.	Umíva rehegua jaguereko Guaraníme ko'ãva: Aramirõ / Kosereva / Arapaho / Kavara / Kamisa / Vaka / Mesa / Ovetã / Ñe'ẽpurukapy oñemohendajey mokõime: Ñe'ẽpuambue: Kóva ojehu oñemoambue jave pe ñe'ẽ oikéva ryapu.
Wikipedia 	1984: Santiago Ramundo, abogado, abogado y abogado argentino.	1984: Santiago Ramundo, cantante, mba'eapohára ha abogado argentino.
Wikipedia 	En Estados Unidos, Rabiabiabia, que es el proveedor de servicios médicos de más de 750 dólares, pagó un día de medicina medicinal.	Estados Unidos-me, Rabia mba'asymombiaha pohãnopukurã oñehepyme'ẽ USD750 árire.
Wikipedia 	Les aseguro que es bueno que sobrevivan las aguas que corren por la ciudad, donde también los arroyos cuentan que hay una pista para abaratar el avión o cualquier otro aparejo de los centros urbanos, lo que significa que son pocos los aviones pequeños y medianos.	Iporã umi ygarata michĩme guarã ohasávo umi ysyryguasu oñehe'ẽva upe táva rehe, omombe'u orekóha avei, peteĩ pista oguejy haguã aviõ térã ambue mba'yru veve ombojoajúva umi centro urbano, ha'éva umi aviõ michĩ ha imediano-va.
Wikipedia 	Con su comida, comparte una variedad de pescados y animales pequeños que no tienen ni siquiera pujas, y visita dos de las principales comunidades de peces para su consumo.	Ijuru jetapáicha, omongu'i hembi'urã ho'u porãve (ho'u opaichagua pirakuéra ha mymba michĩ ndorekóiva pujase'o), oipuru mokõi itĩ guasu oipyhy hag̃ua hembi'urã.
Wikipedia 	1965: José Antonio Delgado Sucre, alpinista venezolano (muerte en 2006).	1965: José Antonio Delgado Sucre, alpinista venezolano (ñemano ary 2006).
Wikipedia 	El miércoles: Guillermo Galeote Jiménez, político español.	1941: Guillermo Galeote Jiménez, político español.
Wikipedia 	En Caazapá se cultivaban el algodón, la soja, la caña, el maíz y la mandioca.	Ka'asapa omomba'apo mandyju, soha, takuare'ẽ, avati ha mandi'o.
Wikipedia 	En cuanto a las ovejas, son vacas y ovejas.	Mymbakuéra rehegua katu oñemoña vaka ha ovecha.
Wikipedia 	En el pasado, el mejor modo de este pesebre es bajar hasta la cruz como un círculo vicioso.	Hi'arekue iñambuekuaa upe mymbachu'ĩ ñarõ og̃uahẽháicha tajygue tapereko rusu peve.
Wikipedia 	El vori vori más conocido fue el "vori vori de los huevos".	Vori vori ojekuaavéva ha'e "vori vori ryguasuguigua".
Wikipedia 	Un conductor de arte que se especializa en el arte estudia a docentes como Abel Carlevaro de Uruguay, José Martínez Zárate de Argentina, Luis López de Chile (junto con música renacentista para laúd), Alirio Díaz de Venezuela, Narciso de España y Leo Brower de Cuba, entre otros.	Omotenonde ha omohendáva arte oñemoarandu umi mbo'ehára ha'éva Abel Carlevaro Uruguay-gua, José Martínez Zárate Argentina-gua, Luis López Chile-gua (gendive música renacentista laúd-pe guarã), Alirio Díaz Venezuela-gua, Narciso Yepes España-gua ha Leo Brower Cuba-gua, ha ambue hi'arandúva.
Wikipedia 	1881: Marie Laveau, practicante de vudú en la zona del euro (artículo 1801).	1881: Marie Laveau, practicante vudú Tetãvore Joapykuéra pegua (ary reñói 1801).
Wikipedia 	Esta iniciativa beneficiará a los recursos naturales que posee.	Ko jeguataha iporãiteri pe recursos naturales oguerekóva rupi.
Wikipedia 	FO: Ruud Lubbers, supuestamente neerlandés.	1939: Ruud Lubbers, jokuaikuaahára neerlandés.
Wikipedia 	También Aquila conquistó dos ciudades: Europa y Asia, ciudad de Ekaterimburgo, una de las ciudades más importantes de la provincia de Asia.	Jey peteĩha avei ojejapóva mokõi yvyrusúpe: Europa ha Ásia, ko táva Ekaterimburgo, peteĩ umi távagui iporavopyre, oĩ Rrúsia yvy apekue Ásia-pe.
Wikipedia 	1805: Napoleón Coste, bajo el liderazgo de un experto en cantos y la muerte en el año 1883.	1805: Napoléon Coste, mbaraka ombopúva ha purahéi haihára Hyãsiagua (ñemano ary 1883).
Wikipedia 	1976: Jorge Federico de Prusia, líder de la zona del euro.	1976: Jorge Federico de Prusia, ruvicha Alemáña pegua.
Wikipedia 	La casa (vivienda) para la construcción se debe colocar como es debido para que las tormentas no caigan sobre ella.	Óga (vivienda) oñemopu'ãvo oñemohendava'erã tekotevẽháicha ani hag̃ua yvytu vai ojeity hi'ári.
Wikipedia 	A su paso se apoderó de los manantiales con menor vapor que transportan productos provenientes del país, principalmente de la ciudad de Corrientes.	Upérupi oike umi yga michĩvéva vapor peguáva ogueraháva mba'erepy ojeguerúva tetã Argentina-gui, hetavéva táva Corrientes-gui.
Wikipedia 	Una gran parte de la población de ⁇ , que se encuentra bajo el yugo de la SIDA, ve con buenos ojos la educación de los pobres, de modo que no les falte nada.	Heta tetã Áfrika pegua, oñemosarambihápe SIDA mba'asy pya'iterei, ojeikuaa porenogua tekombo'e ojehecha va'erã mba'e tenondeitegua yvypóra reko resãirã.
Wikipedia 	«Moldama - ⁇  - Libro Mundial de Hechos.	«Moldavia - Geografía - Libro Mundial de Hechos».
Wikipedia 	Las doncellas Juan Barbero y Carolina Crosa (piamonteses) llegaron a Paraguay cuando la Guerra de la Triple Alianza, se casaron con Asunción en el año 1871.	Pytaguakuéra Juan Barbero y Carolina Crosa (piamonteses) oguahẽvo Paraguáipe opa ramo jave Guerra de la Triple Alianza, omenda hikuái Paraguaýpe ary 1871-pe.
Wikipedia 	FO: Ernst Ludwig Kirchner, de 1870 (alrededor de 1880).	1938: Ernst Ludwig Kirchner, mongolohára Alemañagua (ary reñói 1880).
Wikipedia 	1768: ⁇  Brandt, químico y minerólogo suico (n).	1768: Georg Brandt, químico y minerólogo sueco (n.
Wikipedia 	Hacia el 25 de julio del año 1925 ya no pudo regresar su país a Paraguay.	Péval 25 jasypokõime ary 1925 oho ha ndouvéi hetã Paraguáipe.
Wikipedia 	Estamos en los 35° cm más adelantados.	Ha'eva 35° Pindorama tenondeta.
Wikipedia 	Zona de Núcleo: en zonas devastadas por inundaciones inundaciones (entre ellas tres núcleos no aptos para cometer errores).	Zona de Núcleo: tendakuéra avakuéra omo'ambue mimíma haguérupi (ko'ãva apytépe oĩ mbohapy núcleo ndaikatúmo'ãiva jajavy ha ha'eva ko'árupiguánte).
Wikipedia 	1948: Hilario Camacho, extinto en la zona de ⁇  (muerto: 2006).	1948: Hilario Camacho, atõihára Espáña pegua (ary omano: 2006).
Wikipedia 	Como también se le conoce como "La perla del Caañabé", la ciudad nació en el año 1725 cuando era presidente de España Martín de Barúa.	Ojekuaa avei chupe "La perla del Caañabé"-ramo, ko táva heñói ary 1725 jave España-gua Martín de Barúa mburuvicháramo guare.
Wikipedia 	El único castellano que soportamos distante.	Castellano año ñañandererahamo'ãi mombyry.
Wikipedia 	Friedrich: Ferdinand Gregorovius, historiador de la isla (Crea: 1821).	1891: Ferdinand Gregorovius, historiador Alemaña pegua (heñói: 1821).
Wikipedia 	Wikimedia Commons tiene una representación de imágenes de Franceville.	Wikimedia Commons oguereko ta'ãnga Franceville reheguaCommons.
Wikipedia 	Ahora bien, en cuanto a los temas de los cuales ustedes están en los cielos, es necesario que permanezcan en ellos dos días y seis meses, pero que no haya ninguno.	Jahasa hagua Tava'ígui Paranáme ñaikotevẽ mokõi ára porã jaguata ha ambue hendaguio jaikérõ katu nañasẽ véima araka'eve.
Wikipedia 	Osvaldo Verón, nuestra historia (el ateneo).	Osvaldo Verón, rekove rembiasa (Ateneo-ygua).
Wikipedia 	1903: George Orwell, escritor y periodista de la diáspora.	1903: George Orwell, haihára ha momaranduhára Vyretáña pegua.
Wikipedia 	Jorge Ianiszewski Rojas (2011).	Jorge Ianiszewski Rojas (2011).
Wikipedia 	Con Roger Penrose demostró dónde y el tiempo, siguiéndole a ⁇ , comenzaron a trabajar en Big Bang y terminaron matando negros.	Roger Penrose ndive ohechaukákuri tenda ha ára, ohapykuehóvo Einstein-pe, oñepyrũha hikuái Big Bang-pe ha opaha kuára hũme.
Wikipedia 	1996: Ademir Marques de Menezes, de la zona del euro recluso brasileño.	1996: Ademir Marques de Menezes, Pindoráma pegua brasileño.
Wikipedia 	1974: Sara Gómez (31), cineasta y feminista cubana de raza negra (alrededor de 1942).	1974: Sara Gómez (31), cineasta ha feminista cubana de raza negra (ary reñói 1942).
Wikipedia 	Su cabeza y sus cabellos eran blancos como la blanca lana, como la nieve.	Oĩ umíva ipara sa'yjúva ha ipyti'a katu morotĩ.
Wikipedia 	1 de febrero fue: 5 años.	1 poarajere ha'e: 5 ary.
Wikipedia 	Honor y gloria! ¿Quién puede estar en el mundo?	Mba'apo'y (karaiñe'ẽ: Ocio), máva oĩreíva reko.
Wikipedia 	2016: Rex ⁇ , el líder de la sinagoga de los judíos.	2016: Rex Hughes, entrenador Tetã peteĩ reko Amérikagua pegua de baloncesto (ary reñói 1938).
Wikipedia 	En la ciudad se registran 95.796 personas en el año 2010.	Ko távape oiko 95.796 ava (2010 ary).
Wikipedia 	Pero su madre y su hermana, Balbina, trabajaban allí.	Imbo'epýre katu omba'apo va'ekue isy ha itia hérava Balbina.
Wikipedia 	1983: Heidi Range, artista de la campiña de ⁇  (Sugababes).	1983: Heidi Range, opurahéiva Vyretáña pegua (Sugababes).
Wikipedia 	Elegías saluda.	Elegías romanas.
Wikipedia 	Se trata de la base (materia prima) de la constitución del papa José, quien conoce y analiza las representaciones religiosas de todo el universo.	Jasuka jeko upe mba'e'ypy (materia prima) Ñane Ramói Jusu Papa oipurúva omoheñói, omongakuaa ha oipyso hag̃ua opa mba'e, hembiapokuéva, arapy tuichakue javeve.
Wikipedia 	Y no pudo hacerlo él solo, sino que lo hizo sentir en Touring y Automóvil Club Paraguayo en 1970 cuando se le acabó.	Ha ndaikatúi rupi ojapo ha'eño, omoguahẽ hemiandu Touring y Automóvil Club Paraguayo-pe ary 1970 opávo.
Wikipedia 	1899: Irving Thalberg, productor de cine de ⁇  en la zona del euro (y murió: 1936).	1899: Irving Thalberg, productor de cine Tetãvore Joapykuéra pegua (ary omano: 1936).
Wikipedia 	Y así, después que toda la congregación se levantó, le dejó un madero de tormento.	Ipu hag̃ua ombota peteĩ yvyra pehẽnguépe.
Wikipedia 	Este folleto se titula "La puerta de la ventana".	Ko tavusu ojehero "Pantanal rokẽ".
Wikipedia 	 ⁇ : Harry Browne, de la tribu de ⁇ , murió en 2006.	1933: Harry Browne, ojokuaikuaáva Tetãvore Joapykuéra pegua (ary omano 2006).
Wikipedia 	Recopila toda una serie de experiencias y costumbres, su fe y su relato para dejar constancia de sus interpretaciones.	Ombyaty opaichagua hembiasa ha ijepokuaakuéra, ijerovia ha imombe'upy ohejávo kuatiáre ojekuaa hag̃ua.
Wikipedia 	También se plantaron numerosos Sóha y mandioca adyacente.	Avei oñeñotýva heta Sóha ha mandi'o ijerére.
Wikipedia 	1896: Mark Wayne Clark, de la ciudad de ⁇ .	1896: Mark Wayne Clark, milíko Tetã peteĩ reko Amérikagua pegua.
Wikipedia 	1798: Thomas Sandby, descendiente de la familia de Claudio (que nació en 1721).	1798: Thomas Sandby, ojogapokuaáva Vyretáña pegua (ary heñói 1721).
Wikipedia 	El Estado debe ayudar también a entender los límites de los límites de los lluviosos, de cómo se relacionan los impagos, los daños ambientales y la riqueza de las personas.	Estado oipytyvõvaoeerã avei oñemyesakã hagua opa mbaoee tetãygua reko rehegua, mbaoeéichapa upéva ojoaju akarapuoeã ndive, tekoha ñembyaioe¥ ndive, ha yvyporakuéra reko porãve ndive.
Wikipedia 	Es importante destacar la producción de soja.	Oñemomba'eguasu soha producción.
Wikipedia 	1861: Alberto Smith, de la familia de ⁇  (quien murió en 1942).	1861: Alberto Smith, ojokuaikuaáva Venesuéla pegua (ary omano 1942).
Wikipedia 	Para el viernes 11 de agosto de 2014. fifa.com (ed.): «2018 FIFA World Cup Bid Evaluación Report: Rusia» (en inglés).	Ojehechákuri árape: 11 de agosto de 2014. fifa.com (ed.): «2018 FIFA World Cup Bid Evaluation Report: Russia» (en inglés).
Wikipedia 	1968: Héctor Sandarti, director y conductor del guatemalteco residente en México.	1968: Héctor Sandarti, mba'eapohára ha conductor guatemalteco residente en México.
Wikipedia 	1976: Mayte Martínez, atleta de la zona.	1976: Mayte Martínez, atleta Espáña pegua.
