Wikipedia+Wikibooks 	En Wikiliwrus (Wikiliwrus) hay uno que es el que más se mueve.	Wikiliwrukunapi Kamachiq nisqaqa huk ruraqkunamanta aswan hayñiyuq ruraqmi.
Wikipedia+Wikibooks 	Lista del pergamino: Circunstancia Quiriatsu (Chili) Quischichi (Chili) Ciscuito Biscopani Suntur - Chili (Castiga de Castilla) quiere decir lo siguiente: Cerrada de nieve en la montaña de Urupapapa en el centro de la ciudad de Urubamba (Nevado Verónico): Circuito, Cuscosco	Yachay suntur Lista: Yachay sunturkuna (Chili) Chili Bío-Bío Yachay Suntur - Chili (kastilla simipi) Wisk'achani nisqaqa kaykunatam niyta munan: Waqaywillka rit'i urqu: Piruwpi, Qusqu suyupi, Urupampa pruwinsyapi huk rit'i urqu Waqaywillka (Nevado Verónica): Piruwpi, Qusqu suyupi, Urupampa pruwinsyapi huk urqu Puririchiy (Qosqo simi) , Purikuy (Ankash qallu) , ichapas Moysespa iskay ñiqin qillqasqan (kastilla simipi: Éxodo) nisqaqa Dyuspa Simin Qillqap Ñawpa Rimanakuyninpi huk yachayp'anqam.
Wikipedia+Wikibooks 	El Adivino, 1973.	El adivino, 1973.
Wikipedia+Wikibooks 	Quién no?	Piraq mana?
Wikipedia+Wikibooks 	Una vez terminó una chacra enorme.	Huk kutis ancha achka lurukuna chakrata tukuykurqan.
Wikipedia+Wikibooks 	Los comunes son multilingües por este motivo: Yukris.	Commons nisqaqa multimidya kapuyninkunayuqmi kay hawa: Yukris.
Wikipedia+Wikibooks 	Cabeza de la ciudad de Munupapa.	Uma llaqtanqa Munupampa llaqtam.
Wikipedia+Wikibooks 	Hallará más información sobre los países en la torre del Greco.	Commons nisqapi suyukunata uyarinakunatapas tarinki kaymantam: Torre del Greco.
Wikipedia+Wikibooks 	En la costilla de madera hay una gran cantidad de sangre roja: una ampolla, dos; y en la abertura de la abertura hay una abertura de dos tipos de sangre negra (CO2).	Kurkupi yawrikunaman pusaq tawna sirk'api puka yawar nisqaqa wayaysapam (chhuhusapam, O2), surq'anman pusaq surq'an tawna sirk'apitaq yana yawar nisqa chimlasaysapa (CO2) yawarmi.
Wikipedia+Wikibooks 	Padre: Manzano; mamá: Canché.	Tayta: Manzanero; Mama: Canché.
Wikipedia+Wikibooks 	En 1999, la UNESCO declaró su patrimonio.	1999 watapis UNESCO nisqa Tukuy runakunap qhapaq kaynin rimarirqan.
Wikipedia+Wikibooks 	En Miskolc hay 181.565 personas (2001).	Miskolc llaqtapiqa 181.565 runakunam kawsachkanku (2004).
Wikipedia+Wikibooks 	15 centavos de terreno en el mes décimo (8.0 graduados) de ⁇  murió quinientos, mil ochocientos fueron heridos, 16.200 personas murieron de hambre.	15 ñiqin chakra yapuy killapi 2007: Piruwpi pacha kuyuypi (8.0 graduyuq) pichqa pachak runam wañurqan, waranqa pusaq pachaktaq k'irisqa karqan, 16.200 wasi kawsana thuñisqam.
Wikipedia+Wikibooks 	Peret 1967 (Discofón, 1967).	Peret 1967 (Discophon, 1967).
Wikipedia+Wikibooks 	Elisa, viuda de Armendares Herencia maldita (1986) ...	Elisa, viuda de Armendáres Herencia maldita (1986) ....
Wikipedia+Wikibooks 	Cabeza de la ciudad de Sísapan	Uma llaqtanqa Sisapampa llaqtam.
Wikipedia+Wikibooks 	La lista de los cascabeles en el distrito de Yanaca (Costa de Efraín) está en Cusco, en el centro de las casas paternas.	Yana uqa listritu (kastilla simipi: distrito de Yanaoca) nisqaqa huk distritum Piruw mama llaqtapi, K'anas pruwinsyapi, Qusqu suyupi.
Wikipedia+Wikibooks 	Cabeza de San Isidro.	Uma llaqtanqa San Isidro llaqtam.
Wikipedia+Wikibooks 	José Manuel Ricketts Escomel, o Choclo, mencionado antes, que nació en Lima en 1950, y fue criado por una madre extranjera de Etiopía.	José Manuel Ricketts Escomel sutiyuq runaqa, icha Choclo (* 27 ñiqin ayriway killapi 1950 watapi paqarisqa Ariqipa llaqtapi -  22 ñiqin chakra yapuy killapi 2018 watapi wañusqa Lima llaqtapi), Piruw mama llaqtayuq llimphiqpas qarqan.
Wikipedia+Wikibooks 	 ⁇  Saransk es un pueblo de Rusya Mama, de Mordovia.	IMDb Saransk nisqaqa (rusu simipi: Сара́нск)  Rusya mama llaqtapi, Mordovia suyupi, huk llaqtam.
Wikipedia+Wikibooks 	Sunin (quechua de este quichua: Suní) es el soberano de una nación, de un reino de Suní y de otro reino.	Sunin (kay kiti qhichwa simipi: Shunin) nisqaqa huk llaqtam Piruwpi, Sunin suyupi, Sunin pruwinsyap uma llaqtanmi.
Wikipedia+Wikibooks 	Eduardo Verchez García, o Eddie García, que nació en Sorsogón entre 1929 y el 20 de octubre de 2019, en Makati (Makati), un grupo de filipinos que jugaban con una madre extranjera.	Eduardo Verchez García sutiyuq runaqa, icha Eddie García (* 2 ñiqin aymuray killapi 1929 watapi paqarisqa Sorsogon llaqtapi - 20 ñiqin inti raymi killapi 2019 watapi wañusqa Makati llaqtapi ) huk  Philipinakuna mama llaqtayuq aranway pukllaq qarqan.
Wikipedia+Wikibooks 	CANCIONES: Marino Pumaleque Mango. www.nei.gob. ⁇  ⁇ : Sir Hans Joseph Mamo, político de Punú, ardó el 9 de diciembre de 1941 en Birkirkara y el 1 de diciembre de 2008 en Mostac, donde murió la madre de Malta.	2007-2010: Marino Pumaleque Mango. www.inei.gob.pe/ (2007) Saywitu:Punu suyu INEI Piruw Sir Anthony Joseph Mamo sutiyuq runaqa (* 9 ñiqin qhulla puquy killapi 1909 watapi paqarisqa Birkirkara llaqtapi - 1 ñiqin aymuray killapi 2008 watapi wañusqa Mosta llaqtapi) huk Malta mama llaqtap taripay amachaq wan pulitiku karqan.
Wikipedia+Wikibooks 	La región de la vida de las palmeras está protegida en la región de Querétaro, Cuchuchaka, Jaime Zudáñez ⁇ , Pristu ⁇ , Rudiyu ⁇  y Pasupaya.	Palmar kawsay suyu (kastilla simipi: Área Natural de Manejo Integrado El Palmar) suyuqa amachasqam kachkan, Buliwya mamallaqtapi, Chuqichaka suyupi, Jaime Zudáñez pruwinsyapi, Pristu munisipyupi, Rudiyu kantunpi, Pasupaya kantunpipas.
Wikipedia+Wikibooks 	La ciudad de las bestias Feliz.	Sipiyapi rikuna La ciudad de las bestias (2002).
Wikipedia+Wikibooks 	Se refiere al hombre, al animal, al animal, al animal, al animal: el tuétano, al ⁇ , al ⁇ , al ⁇ , al ⁇ .	Q'umpuyasqa (tumor) nisqaqa mana atikuspa wiñaykuchkaq waqllisqa kawsaykuqkunam - runapi, uywakunapi, yurakunapipas -, ahinataq apanqara unquy nisqakunapi, q'utu nisqapipas.
Wikipedia+Wikibooks 	Estudiante de King's Inn y Harvard.	King´s Inn wan Harvard Yachay suntur.
Wikipedia+Wikibooks 	En la yunta de los manantiales se habla una parte de la lengua náhuatl, una parte de un manantial, otra de quechua, otra de aymara, otra de quechua, otra de quechua, otra de quechua, otra de quechua, otra de quechua, otra de quechua, otra de quechua, otra de quechua, otra de quechua, otra	Yunkuyu pruwinsyapiqa aswanta indihina simikunatam (aymara simi) rimanku. /1 Rimaqkuna: 5 / 5+ wata /2 Indihina simi: qhichwa simi, aymara simi, ashaninka simi icha huk indihina simi (mana hawa simi) Pukyu: Punu Qupaqhawana Qupaqhawana yaqa wat'a Punu suyupi rimaykuna www.inei.gob.pe www.inei.gob.pe/ Commons nisqaqa multimidya kapuyninkunayuqmi kay hawa: Yunkuyu pruwinsya.
Wikipedia+Wikibooks 	Centro Guaman Poma de Ayala (CGPA), Asociación Pukllashur, Editorial del Grupo Dragostea, Cusco 2011.	Centro Guaman Poma de Ayala (CGPA), Asociación Pukllasunchis, Grupo Editorial Dragostea, Cusco 2011.
Wikipedia+Wikibooks 	27°28 ⁇ 4  ⁇  153°1 ⁇ 40 ⁇  ⁇  creado en 1824.	27°28′4″S 153°1′40″E Kamasqa 1824 watapi.
Wikipedia+Wikibooks 	IGN, PROBLEMA DE ESTUDIO; (Castigata: distrito de ⁇ pujio) se encuentra en una cueva situada en la capital, Anta ⁇ , Cusco.	IGN, Piruw Saywitu Chinchaypukyu distritu; (kastilla simipi: distrito de Chinchaypujio ) nisqaqa huk distritum Piruw mama llaqtapi, Anta pruwinsyapi, Qusqu suyupi.
Wikipedia+Wikibooks 	Hacemos brillar su luz sobre las alas de las mariposas, sobre los collares de los pueblos.	Wallqanqapi llimphisqa tuyruchakuna, llimphikunata mama llaqtap, huk llaqtakunap wallqanqa sananchan hina llamk'achinchik.
Wikipedia+Wikibooks 	Y aquí están las cuatro millas del año: la mies, la mies, la mies, la mies, la mies, la mies, la mies, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor, el calor	Kaymi watapi tawantin mit'a: chiri mit'a, qasa mit'a (invierno) ch'iraw mit'a, pawqarwara, t'ikay pacha, sisa pacha (primavera) ruphay mit'a, ruphay pacha, ch'aki mit'a, usya (verano) puquy mit'a, hawkay mit'a, kallchay pacha (otoño) Kaypitaq watapi iskaynintin mit'am: ch'aki mit'a, usyay mit'a, usya wichan, ruphaq mit'a (temporada quemante; temporada seca) paray mit'a, tamya pacha (estación de las lluvias) Kastilla atiymanta, kastilla qhapaq pacha nisqapiqa Abya Yalapi runakuna wiraquchakunapaq, mistikunapaq yanqa llamk'ana atirqan.
Wikipedia+Wikibooks 	Su cabeza está en Quin-njón, en Witna.	Uma tiyananqa Qui Nhon llaqtapim, Witnampi.
Wikipedia+Wikibooks 	William John Clifton Haley, o bien "Bill" Haley, que en enero de 1925 se originó en la ciudad de Highland Park, en Michigan, y en la asamblea del 9 de diciembre de 1981, en Harlingen (Texas).	William John Clifton Haley sutiyuq runaqa, icha "Bill" Haley (* 6 ñiqin anta situwa killapi 1925 watapi paqarisqa Highland Park llaqtapi, Michigan suyupi - † 9 ñiqin hatun puquy killapi 1981 watapi wañusqa Harlingen llaqtapi, Texas suyupi) huk Rock takiqsi karqan, takichaq, Hukllachasqa Amirika Suyukunayuq.
Wikipedia+Wikibooks 	Markus: Markus: Markus y Marco Marco: Markus (Macedonia) ⁇  (Macedonia: ⁇ ) ⁇  (Kazael, el sureño Edward Fenech Adami, natural de Birkirkara, en 1934).	Urqukuna: Quchakuna: Mayukuna: Piruwpi pruwinsyakuna distritukunapas: Yupaykuna (INEI) Saywitu: Qispi kay suyu Edward Fenech Adami sutiyuq runaqa (*7 ñiqin hatun puquy killapi 1934 watapi paqarisqa Birkirkara llaqtapi - ), huk  Malta mama llaqtayuq taripay amachaq wan pulitiku qarqan.
Wikipedia+Wikibooks 	Los nombres de las personas mencionadas en este artículo son: Pikwayuyu Ruggero Leoncavallo, poeta italiano nacido en Napoli (Italya) y nacida en 1857, que murió en ⁇  en Montecatini Terme.	Wikispecies nisqaqa qillqasqa p'anqayuqmi kay hawa: Pikwayu Ruggero Leoncavallo sutiyuq runaqa (* 23 ñiqin ayriway killapi 1857 watapi paqarisqa Napoli llaqtapi (Italya) - † 9 ñiqin chakra yapuy killapi 1919 watapi wañusqa Montecatini Terme llaqtapi), huk  Italya mama llaqtayuq takichaqmi qarqan.
Wikipedia+Wikibooks 	Mapamonde oceánico Serret.gif Mama lago (Castilla ⁇ : Océano, lengua griega:  ⁇  ⁇  ⁇  ⁇  ⁇  ⁇  ⁇  ⁇  [ ⁇ kenanos]] es un lago muy grande, muy grande y salpicado de agua, el más grande de todos los mares.	Rikcha:Mappemonde oceanique Serret.gif Mama qucha (Kastilla simipi: Océano, grigu simimanta: Ωκεανός [Ōkeanós]) nisqaqa Tiksi muyupi ancha hatun yakum, kachisapa hatun qucham, lliw yaku pachamanta aswan hatun yakum.
Wikipedia+Wikibooks 	Estas son las palabras de una bantúa: Pásasa.	Kaymi huk bantu rimaykuna: Kuraray kitilli nisqaqa (kastilla simipi: Parroquia Curaray) Ikwadur mama llaqtapi huk kitillim, Pastasa markapi.
Wikipedia+Wikibooks 	CANCIONES | CANCIONES 5 Y 6 CANCIONES | CANCIONES | CANCIONES | CANCIONES | CANCIONES | CANCIONES | CANCIONES | CANCIONES | 555 | 555 | 558 | CANCIONES | CANCIONES | CAN	Wasikunap anta qatankunapim paqarin. ◄ | 5 ñiqin pachakwata | 6 ñiqin pachakwata | 7 ñiqin pachakwata | ► ◄ | 520 watakuna | 530 watakuna | 540 watakuna | 550 watakuna | 560 watakuna | 570 watakuna | 580 watakuna | ► ◄◄ | ◄ | 552 | 553 | 554 | 555 | 556 | 557 | 558 | 559 | 560 | ► | ►► 556 wataqa Hulyanu kalindaryukama k'uychichawwan qallarisqa wakllanwatam karqan.
Wikipedia+Wikibooks 	Cabeza de la ciudad de Cumuna.	Uma llaqtanqa Qumuna llaqtam.
Wikipedia+Wikibooks 	I, Italiana: Paolo I) fue un papa de Roma que nació el año 700 antes de nuestra era y murió el 28 de diciembre de 1967 en Roma.	I, Italya simipi: Paolo I) sutiyuq runaqa (* 700 watapi paqarisqa Roma llaqtapi - † 28 ñiqin inti raymi killapi 767 watapi wañusqa Roma llaqtapi) huk Tayta Papam karqan.
Wikipedia+Wikibooks 	Como ser libre y feliz.	1924.  Como ser libre y feliz.
Wikipedia+Wikibooks 	Markus: W ⁇ adys ⁇ aw Bieda Comuns es precursor en Limanowa.	Kuraka: Władysław Bieda Commons nisqaqa multimidya kapuyninkunayuqmi kay hawa: Limanowa.
Wikipedia+Wikibooks 	El río Piriní (Castigación: Río Perené) se encuentra en la bahía de ⁇ , a unos 165 kilómetros (65 millas) de suní, en la península de Chachachamayo.	Pirini mayu (kastilla simipi: Río Perené) nisqaqa Piruw mamallaqtapi huk 165 km suni mayum, Hunin suyupi, Chanchamayu pruwinsyapi.
Wikipedia+Wikibooks 	El lago de Cus (laguna Concepción) es un lago que está en la ciudad de Laodicea, en el reino de Santa Krusa, en el norte de Quito, en el sur de San José.	Kunsipsyun qucha (Laguna Concepción) nisqaqa Buliwya mama llaqtapi huk qucham, Santa Krus suyupi, Chikitus pruwinsyapi, San José Chikitus munisipyupi.
Wikipedia+Wikibooks 	 ⁇  | La Biblioteca Electrónica de la revista Azogue reproduce las ediciones originales de los libros de Robert Boyle. ⁇  | 20 ⁇  ⁇ 	Biblioteca Electrónica de la revista Azogue reproduce las ediciones originales de los libros de Robert Boyle. ◄ | 20 ñiqin pachakwata | 21 ñiqin pachakwata     ◄ | 2010 watakuna | 2020 watakuna | 2030 watakuna | 2040 watakuna         ◄◄ | ◄ | 2042 | 2043 | 2044 | 2045 | 2046 | 2047 | 2048 | 2049 | 2050 | ► | ►► 2046 wataqa Griguryanu kalindaryukama killachawwan qallarisqa chhasku watam kanqa. ◄ | 14 ñiqin pachakwata | 15 ñiqin pachakwata | 16 ñiqin pachakwata | ► ◄ | 1400 watakuna | 1410 watakuna | 1420 watakuna | 1430 watakuna | 1440 watakuna | 1450 watakuna | 1460 watakuna | ► ◄◄ | ◄ | 1432 | 1433 | 1434 | 1435 | 1436 | 1437 | 1438 | 1439 | 1440 | ► | ►► 1436 wataqa Hulyanu kalindaryukama intichawwan qallarisqa wakllanwatam karqan.
Wikipedia+Wikibooks 	Perspectivas históricas y sincrónicas.	Perspectivas histórica y sincrónica.
Wikipedia+Wikibooks 	Comunes es una comunidad multilingüe.	Commons nisqaqa multimidya kapuyninkunayuqmi kay hawa: Batumi.
Wikipedia+Wikibooks 	Grana (Bartsia gracilis) es una planta viva de cedro.	Qiswa ñukch'u (Bartsia gracilis) nisqaqa Piruwpi kawsaq yuram.
Wikipedia+Wikibooks 	Una cosa es cierta en el caso de un hombre, otra cosa es cierta en el caso de un hombre físicamente capacitado.	IMDb Kastaña nisqaqa huk sut'ikunayuqmi; Kastaña (sut'ichana) rikuy.
Wikipedia+Wikibooks 	Emilio Salazar Cheprio (1986) ...	Emilio Salazar Chespirito (1986) ....
Wikipedia+Wikibooks 	A 300 kilómetros de la ciudad de Roma.	Chuqiyapu llaqta nisqamantaqa 300 km karum.
Wikipedia+Wikibooks 	Padre: Platón (c.	Tayta: Plato (c.
Wikipedia+Wikibooks 	Markus: En www.allthe ⁇ ains.com Profesor Laredo (capítulo catalán: ⁇  de Laredo) hay un fragmento de un fragmento de cerámica en el interior de la madre, en el centro del país, en el Trujillo.	Saywitu: Qanchi pruwinsya www.allthemountains.com Laredo distritu (kastilla simipi: Distrito de Laredo) nisqaqa huk distritum Piruw mama llaqtapi, Qispi kay suyupi , Truhillu pruwinsyapi.
Wikipedia+Wikibooks 	CANCIONES 3) Kristina Orbabate (p.	Churinkuna: (3) Kristina Orbakaite (p.
Wikipedia+Wikibooks 	Quechua de ⁇ .	Piruw urin runasimi (h-niyuq).
Wikipedia+Wikibooks 	Frank Guzmán Guzmán Guzmán, o Paquito Guzmán, que nació en Santurce y en Jezreel en 1941, y cuyo nombre es Burinkin, es el cantor materno.	Frank Guzmán Géigel sutiyuq runaqa, icha Paquito Guzmán (* 20 ñiqin ayamarq'a killapi 1939 watapi paqarisqa Santurce llaqtapi - † llaqtapi), huk  Burinkin mama llaqtayuq takiqmi qarqan.
Wikipedia+Wikibooks 	Cabeza de la Ciudad de los Difuntos.	Uma llaqtanqa Ch'iyara llaqtam.
Wikipedia+Wikibooks 	Sabe más del quechua.	Aswanta Qhichwa simimantam yachan.
Wikipedia+Wikibooks 	Hijos: María Isabel, Arturo y María Dolores "Boby".	Churikuna: María Isabel, Arturo wan María Dolores "Boby".
Wikipedia+Wikibooks 	Comunes es la isla del Príncipe Eduardo.	Commons nisqaqa multimidya kapuyninkunayuqmi kay hawa: Prince Edward Island.
Wikipedia+Wikibooks 	Brussel (nirlandis ⁇ ) o Bruxelles (arsissis ⁇ ) es la capital de Bilhica, el estado de Bilhika.	Brussel (nirlandis simipi) icha Bruxelles (ransis simipi) llaqtaqa Bilhika mama llaqtap uma llaqtanmi.
Wikipedia+Wikibooks 	Mazatlán, 438 434.	Mazatlán, 438 434 runakuna.
Wikipedia+Wikibooks 	 ⁇  villestigma Hágsater y García-Cruz, ⁇ .	Epidendrum villegastigma Hágsater & García-Cruz, (1999).
Wikipedia+Wikibooks 	Página Oficial.	Página Oficial.
Wikipedia+Wikibooks 	Monte de Goce.	Monte de goce.
Wikipedia+Wikibooks 	Husca, Husca, Jusca o Calabaza (Astragalo garbancillo) es una planta fecunda que brota del cedro.	P'unu husk'a, P'unu jusk'a, Husk'a, Jusk'a chaylla icha Q'ira (Astragalus garbancillo) nisqaqa huk yuram, Awya Yalapi, Antikunapi wiñaq.
Wikipedia+Wikibooks 	CANCIONES | 9 CANCIONES | 11 CANCIONES | CANCIONES | 930 años | 940 años | 970 años | 960 años | 960 años | 963 | 961 | 965 | 967 | 967 | 967 | Cincuenta años | 1 CANCIONES | CANCI	Disney ruruchinapaqmi rurasqa. ◄ | 9 ñiqin pachakwata | 10 ñiqin pachakwata | 11 ñiqin pachakwata | ► ◄ | 930 watakuna | 940 watakuna | 950 watakuna | 960 watakuna | 970 watakuna | 980 watakuna | 990 watakuna | ► 960 | 961 | 962 | 963 | 964 | 965 | 966 | 967 | 968 | 969 960 watakuna nisqa chunkantin watakunaqa 1 ñiqin qhulla puquy killapi 960 watapi qallarirqan.
Wikipedia+Wikibooks 	Los tejones: Bernarda Ortiz, Antonio Brescuani.	Tikrakkuna: Bernarda Ortiz, Antonio Brescuani.
Wikipedia+Wikibooks 	Creada en 1917.	Kamasqa 1917 watapi.
Wikipedia+Wikibooks 	CANCIÓN: Martina Portocarrero Eusebio Grados Dina Páucar Comunes es ⁇  de varias congregaciones en Yerba Silvestre.	Churinkuna: Martina Portocarrero Eusebio Grados Dina Páucar Commons nisqaqa multimidya kapuyninkunayuqmi kay hawa: Yerba Silvestre.
Wikipedia+Wikibooks 	Con la bella historia de Naskas le siguió hasta casi morir.	Sumaqta Naska siqikunamanta willakuyninwan qatirqa yaqa wañunankama.
Wikipedia+Wikibooks 	Cabeza de la Guardia.	Uma llaqtanqa Guarda llaqtam.
Wikipedia+Wikibooks 	Es el líder de una nación casada.	Casanare suyu uma llaqtapmi.
Wikipedia+Wikibooks 	Los hijos de Camel, la familia de los Camelitas, con dos pequeños pechos con crías de verduras;	Kamillu (genus Camelus, familia Camelidae) nisqakunaqa huk iskay ruk'anayuq ñuñuqkunam, yura mikhuq.
Wikipedia+Wikibooks 	K ⁇  inlisya (Arhintina) Santa Fe Comunes ha sido predicado en varios idiomas por Vicente Zazpe.	Kathuliku inlisya (Arhintina) Santa Fe Commons nisqaqa multimidya kapuyninkunayuqmi kay hawa: Vicente Zazpe.
Wikipedia+Wikibooks 	Diccionario de uso de la palabra hebrea  ⁇ on.gov.bo/dict boliviano: Cercado (Ururu) Marco Kanilu, castellano Canelo quiere decir: "Cinnamomom verum" (Cinnamomom verum); Akwa is kanila (Ocotea quixis); Kili kanila (En invierno invierno).	Uru Uru karnawal obd.descentralizacion.gov.bo / Observatorio Bolivia Democrático (kastilla simi) Saywitu: Cercado (Uru Uru) pruwinsya Kanilu, kastilla simipi Canelo nisqaqa kaykunatam niyta munan: Kanila sach'a (Cinnamomum verum); Akwa ishpinku icha Ikwadur kanila (Ocotea quixos); Chili kanila (Drimys winteri).
Wikipedia+Wikibooks 	La ciudad de Llalawa está situada a unos 7 kilómetros (tres millas) de distancia, luego a unos 300 kilómetros (tres millas) de distancia, y luego a unos 100 kilómetros (tres millas) de Ururu.	Llallawa llaqtaqa Unsiya llaqtap (pruwinsyap uma llaqtanpa) chinchayninpi, chaymanta 7 km karum, Chukiyapu llaqtamantataq 300 km karum, uralanpi, Ururu llaqtamanta 100 km karum, chinchay kuntinpi.
Wikipedia+Wikibooks 	Y los nombres de los hijos de las hijas de los hijos de las hijas de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos de los hijos	Wikispecies nisqaqa qillqasqa p'anqayuqmi kay hawa: Chirimuya Sumaku Napu-Galeras mama llaqta parki (kastilla simipi: Parque Nacional Sumaco Napo-Galeras) nisqaqa Ikwadur mama llaqtapi huk mama llaqta parkim, Napu markapi, Orellana markapi, Sukumpiyu markapi.
Wikipedia+Wikibooks 	Mujer Karoline Reimers.	Warmiː Karoline Reimers.
Wikipedia+Wikibooks 	Párrafo de Santa Innes, Compendio Estadística de 2007 (pdf)	Santa Inis llaqta Chuqlluqucha INEI, Compendio Estadistica 2007 (pdf) Saywitukuna: Piruwpa pruwinsyankuna Kutipay (kastilla simipi: El Torno) nisqaqa Buliwya mama llaqtapi huk llaqtam, Santa Krus suyupi, Andrés Ibáñez pruwinsyapi, Kutipay munisipyupi.
Wikipedia+Wikibooks 	Jonas Gahr St ⁇ re (cuyos campos crecieron en 1960 en ⁇ )	Jonas Gahr Støre ( * 25 ñiqin chakra yapuy killapi 1960 watapi paqarisqa Oslo llaqtapi - ).
Wikipedia+Wikibooks 	Y se pusieron a pelear contra Efraín las ciudades de Aksis, de Adolf-hatita, de Isluqya, de Rumanya, de Bulgarya y de Hapun;	Adolf Hitler-pa kamachisqan Alimanyawan masi kaspa maqanakurqan Aksis nisqa mama llaqtakunam: Italya, Unriya, Isluwakya, Rumanya, Bulgarya, Hapun.
Wikipedia+Wikibooks 	Robert ⁇  (en la asamblea de 1941 de 1941, que tuvo lugar en Kutama, fue el líder de una madre simbabwi que luchaba contra los asirios.	Robert Mugabe sutiyuq runaqa (21 ñiqin hatun puquy killapi 1924 watapi paqarisqa Kutama llaqtapi - ) huk  Simbabwi mama llaqtayuq awqaq pusaq, pulitiku wan umalliqninmi qarqan.
Wikipedia+Wikibooks 	Coromoto Alexis José Toledo Castro.	Coromoto Pallan Alexis José Toledo Castro.
Wikipedia+Wikibooks 	Cabeza de San Antonio ⁇ .	Uma llaqtanqa San Antonio Lipis llaqtam..
Wikipedia+Wikibooks 	Clive Staples Lewis, traductor e traductor inglés del siglo veintinueve de nuestra era, nació en Belfast en 1928, y murió en 1926 en Ilanta - Esdras en 1963.	Clive Staples Lewis sutiyuqqa (* 29 ñiqin ayamarq'a killapi 1898 watapi paqarisqa Belfast llaqtapi, Chinchay Ilandapi - † 22 ñiqin ayamarq'a killapi 1963 watapi wañusqa Oxford llaqtapi, Inlatirrapi) huk Chinchay Ilandayuq qillqaqmi, simi yachaqpas karqan.
Wikipedia+Wikibooks 	Año creado.	Kamasqa wata.
Wikipedia+Wikibooks 	Los lagos rojos (Phaeophyta) (no dentro del círculo familiar) del rojo rojo (Rodophyta) del rojo rojo (Chloroficeae) la lana de pedregales (Bryophy) la lana de pedregales (Piterfita) La langosta de pepitas (Picodopsida) Los psilotopsida	Paqu laqukuna (Phaeophyta) (manam kaqlla ayllu huñupichu) Puka laqukuna (Rhodophyta) Q'umir yurakuna (Chlorophyta) Q'umir laqukuna (Chlorophyceae) Rumi millmakuna (Bryophyta) Tuktunnaq sirk'ayuqkuna (Pteridophyta) Raki-rakikuna (Pteridopsida) Muqu-muqukuna (Equisetophyta) Hiki p'anqa yurakuna (Lycopodiophyta) Psilotopsida Muruyuqkuna (Spermatophyta) Llat'an muruyuqkuna (Gymnospermae) Akwayuqkuna (Coniferae) Sikas yurakuna (Cycadophyta) Yinku yurakuna (Ginkgophyta) Qatasqa muruyuqkuna (Angiospermae) Iskay phutuy raphiyuqkuna (Dicotyledoneae) Ch'ulla khata sisayuqkuna (Magnoliopsida) Kimsa khata sisayuqkuna (Rosopsida) Ch'ulla phutuy raphiyuqkuna (Monocotyledoneae / Liliopsida) Chakranchikkunapi miraspa tarpusqa sach'akunataqa mallkikunam ninchik.
